File Size (GB) ,Parallel Execution Time (ms) ,Sequential Execution Time (ms),Improvement,Speedup
0.05,40,123,67.4796748,3.075
0.1,112,209,46.41148325,1.866071429
0.15,170,383,55.61357702,2.252941176
0.2,241,486,50.41152263,2.01659751
0.25,281,707,60.25459689,2.516014235
0.3,340,742,54.17789757,2.182352941
0.35,452,808,44.05940594,1.787610619
0.4,445,834,46.64268585,1.874157303
0.45,523,934,44.00428266,1.78585086
0.5,557,1366,59.22401171,2.452423698
0.55,621,1356,54.20353982,2.183574879
0.6,610,1274,52.11930926,2.08852459
0.65,717,1617,55.65862709,2.255230126
0.7,739,1863,60.33279656,2.52097429
0.75,786,1761,55.36626917,2.240458015
0.8,899,1876,52.07889126,2.08676307
0.85,871,2009,56.64509706,2.306544202
0.9,1037,2254,53.99290151,2.173577628
0.95,1087,2082,47.79058598,1.915363385
1,1316,2648,50.3021148,2.012158055
1.05,1147,2285,49.80306346,1.992153444
1.1,1303,2504,47.96325879,1.92171911
1.15,1246,2562,51.36612022,2.056179775
1.2,1530,2562,40.28103044,1.674509804
1.25,1307,3084,57.61997406,2.359602142
1.3,1282,2837,54.81142051,2.212948518
1.35,1582,2748,42.43085881,1.737041719
1.4,1679,3258,48.46531614,1.940440739
1.45,1777,3260,45.49079755,1.834552617
1.5,1630,3053,46.60989191,1.873006135
1.55,1893,3097,38.87633193,1.63602747
1.6,1989,3434,42.07920792,1.726495726
1.65,1920,3363,42.90811775,1.7515625
1.7,2012,3468,41.98385236,1.723658052
1.75,2186,3877,43.61619809,1.773559012
1.8,2244,3848,41.68399168,1.714795009
1.85,2584,3808,32.14285714,1.473684211
1.9,2417,4206,42.53447456,1.740173769
1.95,2704,4541,40.45364457,1.679363905
2,2650,4016,34.01394422,1.515471698
2.05,2378,4427,46.28416535,1.861648444
2.1,2502,4387,42.96785959,1.753397282
2.15,2917,4335,32.71049596,1.486115872
2.2,2714,4722,42.52435409,1.739867354
2.25,2562,4520,43.31858407,1.764246682
2.3,2942,5176,43.16074189,1.759347383
2.35,2987,4842,38.31061545,1.621024439
2.4,2920,5062,42.3152904,1.733561644
2.45,3327,5359,37.91752193,1.610760445
2.5,3030,5667,46.53255691,1.87029703
2.55,3136,5824,46.15384615,1.857142857
2.6,3516,5710,38.42381786,1.624004551
2.65,3583,5642,36.49415101,1.574658108
